AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2017,IV Trim,Guajira,Demás Municipios,1
Año 2017,IV Trim,Guaviare,San Jose Del Guaviare,3
Año 2017,IV Trim,Huila,Neiva,40
Año 2017,IV Trim,Huila,Demás Municipios,35
Año 2017,IV Trim,Magdalena,Santa Marta,8
Año 2017,IV Trim,Magdalena,Demás Municipios,5
Año 2017,IV Trim,Meta,Villavicencio,43
Año 2017,IV Trim,Meta,Demás Municipios,17
Año 2017,IV Trim,Nariño,Pasto,19
Año 2017,IV Trim,Nariño,Demás Municipios,16
Año 2017,IV Trim,Norte De Santander,Cucuta,25
Año 2017,IV Trim,Norte De Santander,Demás Municipios,31
Año 2017,IV Trim,Putumayo,Mocoa,4
Año 2017,IV Trim,Putumayo,Demás Municipios,7
Año 2017,IV Trim,Quindio,Armenia,17
Año 2017,IV Trim,Quindio,Demás Municipios,5
Año 2017,IV Trim,Risaralda,Pereira,51
Año 2017,IV Trim,Risaralda,Demás Municipios,3
Año 2017,IV Trim,San Andres Y Providencia,San Andres Isla,22
Año 2017,IV Trim,San Andres Y Providencia,Demás Municipios,2
Año 2017,IV Trim,Santander,Bucaramanga,49
Año 2017,IV Trim,Santander,Demás Municipios,37
Año 2017,IV Trim,Sucre,Sincelejo,1
Año 2017,IV Trim,Sucre,Demás Municipios,15
Año 2017,IV Trim,Tolima,Ibague,35
Año 2017,IV Trim,Tolima,Demás Municipios,45
Año 2017,IV Trim,Valle,Cali,192
Año 2017,IV Trim,Valle,Demás Municipios,103
Año 2017,IV Trim,Vaupes,Mitu,1
Año 2017,IV Trim,Vichada,Puerto Carreño,0
Año 2017,IV Trim,Vichada,Demás Municipios,2
Año 2018,I Trim,Amazonas,Leticia,0
Año 2018,I Trim,Antioquia,Medellin,71
Año 2018,I Trim,Antioquia,Demás Municipios,95
Año 2018,I Trim,Arauca,Arauca,3
Año 2018,I Trim,Arauca,Demás Municipios,7
Año 2018,I Trim,Atlantico,Barranquilla,29
Año 2018,I Trim,Atlantico,Demás Municipios,11
Año 2018,I Trim,Bolivar,Cartagena,27
Año 2018,I Trim,Bolivar,Demás Municipios,14
Año 2018,I Trim,Boyaca,Tunja,10
Año 2018,I Trim,Boyaca,Demás Municipios,54
Año 2018,I Trim,Caldas,Manizales,32
Año 2018,I Trim,Caldas,Demás Municipios,26
Año 2018,I Trim,Caqueta,Florencia,20
Año 2018,I Trim,Caqueta,Demás Municipios,6
Año 2018,I Trim,Casanare,Yopal,12
Año 2018,I Trim,Casanare,Demás Municipios,4
Año 2018,I Trim,Cauca,Popayan,37
Año 2018,I Trim,Cauca,Demás Municipios,18
Año 2018,I Trim,Cesar,Valledupar,10
Año 2018,I Trim,Cesar,Demás Municipios,11
Año 2018,I Trim,Choco,Quibdo,5
Año 2018,I Trim,Choco,Demás Municipios,2
Año 2018,I Trim,Cordoba,Monteria,10
Año 2018,I Trim,Cordoba,Demás Municipios,30
Año 2018,I Trim,Cundinamarca,Bogota,351
Año 2018,I Trim,Cundinamarca,Demás Municipios,191
Año 2018,I Trim,Guainia,Inirida,1
Año 2018,I Trim,Guajira,Riohacha,7
Año 2018,I Trim,Guajira,Demás Municipios,2
Año 2018,I Trim,Guaviare,San Jose Del Guaviare,8
Año 2018,I Trim,Huila,Neiva,24
Año 2018,I Trim,Huila,Demás Municipios,39
Año 2018,I Trim,Magdalena,Santa Marta,9
Año 2018,I Trim,Magdalena,Demás Municipios,8
Año 2018,I Trim,Meta,Villavicencio,32
Año 2018,I Trim,Meta,Demás Municipios,9
Año 2018,I Trim,Nariño,Pasto,19
Año 2018,I Trim,Nariño,Demás Municipios,12
Año 2018,I Trim,Norte De Santander,Cucuta,37
Año 2018,I Trim,Norte De Santander,Demás Municipios,13
Año 2018,I Trim,Putumayo,Mocoa,2
Año 2018,I Trim,Putumayo,Demás Municipios,5
Año 2018,I Trim,Quindio,Armenia,27
Año 2018,I Trim,Quindio,Demás Municipios,8
Año 2018,I Trim,Risaralda,Pereira,34
Año 2018,I Trim,Risaralda,Demás Municipios,5
Año 2018,I Trim,San Andres Y Providencia,San Andres Isla,26
Año 2018,I Trim,San Andres Y Providencia,Demás Municipios,1
Año 2018,I Trim,Santander,Bucaramanga,53
Año 2018,I Trim,Santander,Demás Municipios,42
Año 2018,I Trim,Sucre,Sincelejo,6
Año 2018,I Trim,Sucre,Demás Municipios,12
Año 2018,I Trim,Tolima,Ibague,44
Año 2018,I Trim,Tolima,Demás Municipios,66
Año 2018,I Trim,Valle,Cali,233
Año 2018,I Trim,Valle,Demás Municipios,116
Año 2018,I Trim,Vaupes,Mitu,0
Año 2018,I Trim,Vichada,Puerto Carreño,0
Año 2018,I Trim,Vichada,Demás Municipios,0
Año 2018,II Trim,Amazonas,Leticia,3
Año 2018,II Trim,Antioquia,Medellin,224
Año 2018,II Trim,Antioquia,Demás Municipios,82
Año 2018,II Trim,Arauca,Arauca,3
Año 2018,II Trim,Arauca,Demás Municipios,6
Año 2018,II Trim,Atlantico,Barranquilla,25
Año 2018,II Trim,Atlantico,Demás Municipios,10
Año 2018,II Trim,Bolivar,Cartagena,46
Año 2018,II Trim,Bolivar,Demás Municipios,12
Año 2018,II Trim,Boyaca,Tunja,8
Año 2018,II Trim,Boyaca,Demás Municipios,82
Año 2018,II Trim,Caldas,Manizales,28
Año 2018,II Trim,Caldas,Demás Municipios,22
Año 2018,II Trim,Caqueta,Florencia,26
Año 2018,II Trim,Caqueta,Demás Municipios,7
Año 2018,II Trim,Casanare,Yopal,16
Año 2018,II Trim,Casanare,Demás Municipios,8
Año 2018,II Trim,Cauca,Popayan,29
Año 2018,II Trim,Cauca,Demás Municipios,27
Año 2018,II Trim,Cesar,Valledupar,16
Año 2018,II Trim,Cesar,Demás Municipios,24
Año 2018,II Trim,Choco,Quibdo,4
Año 2018,II Trim,Choco,Demás Municipios,1
Año 2018,II Trim,Cordoba,Monteria,11
Año 2018,II Trim,Cordoba,Demás Municipios,40
Año 2018,II Trim,Cundinamarca,Bogota,414
Año 2018,II Trim,Cundinamarca,Demás Municipios,145
Año 2018,II Trim,Guainia,Inirida,0
Año 2018,II Trim,Guajira,Riohacha,1
Año 2018,II Trim,Guajira,Demás Municipios,4
Año 2018,II Trim,Guaviare,San Jose Del Guaviare,5
Año 2018,II Trim,Huila,Neiva,36
Año 2018,II Trim,Huila,Demás Municipios,25
Año 2018,II Trim,Magdalena,Santa Marta,26
Año 2018,II Trim,Magdalena,Demás Municipios,4
Año 2018,II Trim,Meta,Villavicencio,15
Año 2018,II Trim,Meta,Demás Municipios,12
Año 2018,II Trim,Nariño,Pasto,20
Año 2018,II Trim,Nariño,Demás Municipios,18
Año 2018,II Trim,Norte De Santander,Cucuta,41
Año 2018,II Trim,Norte De Santander,Demás Municipios,21
Año 2018,II Trim,Putumayo,Mocoa,7
Año 2018,II Trim,Putumayo,Demás Municipios,4
Año 2018,II Trim,Quindio,Armenia,27
Año 2018,II Trim,Quindio,Demás Municipios,14
Año 2018,II Trim,Risaralda,Pereira,74
Año 2018,II Trim,Risaralda,Demás Municipios,6
Año 2018,II Trim,San Andres Y Providencia,San Andres Isla,28
Año 2018,II Trim,San Andres Y Providencia,Demás Municipios,2
Año 2018,II Trim,Santander,Bucaramanga,42
Año 2018,II Trim,Santander,Demás Municipios,34
Año 2018,II Trim,Sucre,Sincelejo,4
Año 2018,II Trim,Sucre,Demás Municipios,11
Año 2018,II Trim,Tolima,Ibague,40
Año 2018,II Trim,Tolima,Demás Municipios,68
Año 2018,II Trim,Valle,Cali,156
Año 2018,II Trim,Valle,Demás Municipios,143
Año 2018,II Trim,Vaupes,Mitu,0
Año 2018,II Trim,Vichada,Puerto Carreño,1
Año 2018,II Trim,Vichada,Demás Municipios,0
Año 2018,III Trim,Amazonas,Leticia,0
Año 2018,III Trim,Antioquia,Medellin,77
Año 2018,III Trim,Antioquia,Demás Municipios,97
Año 2018,III Trim,Arauca,Arauca,4
Año 2018,III Trim,Arauca,Demás Municipios,1
Año 2018,III Trim,Atlantico,Barranquilla,42
Año 2018,III Trim,Atlantico,Demás Municipios,18
Año 2018,III Trim,Bolivar,Cartagena,46
Año 2018,III Trim,Bolivar,Demás Municipios,22
Año 2018,III Trim,Boyaca,Tunja,16
Año 2018,III Trim,Boyaca,Demás Municipios,93
Año 2018,III Trim,Caldas,Manizales,41
Año 2018,III Trim,Caldas,Demás Municipios,19
Año 2018,III Trim,Caqueta,Florencia,14
Año 2018,III Trim,Caqueta,Demás Municipios,7
Año 2018,III Trim,Casanare,Yopal,7
Año 2018,III Trim,Casanare,Demás Municipios,4
Año 2018,III Trim,Cauca,Popayan,33
Año 2018,III Trim,Cauca,Demás Municipios,25
Año 2018,III Trim,Cesar,Valledupar,20
Año 2018,III Trim,Cesar,Demás Municipios,25
Año 2018,III Trim,Choco,Quibdo,4
Año 2018,III Trim,Choco,Demás Municipios,2
Año 2018,III Trim,Cordoba,Monteria,25
Año 2018,III Trim,Cordoba,Demás Municipios,51
Año 2018,III Trim,Cundinamarca,Bogota,406
Año 2018,III Trim,Cundinamarca,Demás Municipios,145
Año 2018,III Trim,Guainia,Inirida,0
Año 2018,III Trim,Guajira,Riohacha,10
Año 2018,III Trim,Guajira,Demás Municipios,7
Año 2018,III Trim,Guaviare,San Jose Del Guaviare,5
Año 2018,III Trim,Huila,Neiva,47
Año 2018,III Trim,Huila,Demás Municipios,18
Año 2018,III Trim,Magdalena,Santa Marta,16
Año 2018,III Trim,Magdalena,Demás Municipios,7
Año 2018,III Trim,Meta,Villavicencio,15
Año 2018,III Trim,Meta,Demás Municipios,17
Año 2018,III Trim,Nariño,Pasto,17
Año 2018,III Trim,Nariño,Demás Municipios,23
Año 2018,III Trim,Norte De Santander,Cucuta,48
Año 2018,III Trim,Norte De Santander,Demás Municipios,25
Año 2018,III Trim,Putumayo,Mocoa,7
Año 2018,III Trim,Putumayo,Demás Municipios,8
Año 2018,III Trim,Quindio,Armenia,35
Año 2018,III Trim,Quindio,Demás Municipios,7
Año 2018,III Trim,Risaralda,Pereira,32
Año 2018,III Trim,Risaralda,Demás Municipios,8
Año 2018,III Trim,San Andres Y Providencia,San Andres Isla,21
Año 2018,III Trim,San Andres Y Providencia,Demás Municipios,3
Año 2018,III Trim,Santander,Bucaramanga,48
Año 2018,III Trim,Santander,Demás Municipios,50
Año 2018,III Trim,Sucre,Sincelejo,8
Año 2018,III Trim,Sucre,Demás Municipios,7
Año 2018,III Trim,Tolima,Ibague,43
Año 2018,III Trim,Tolima,Demás Municipios,61
Año 2018,III Trim,Valle,Cali,163
Año 2018,III Trim,Valle,Demás Municipios,128
Año 2018,III Trim,Vaupes,Mitu,0
Año 2018,III Trim,Vichada,Puerto Carreño,0
Año 2018,III Trim,Vichada,Demás Municipios,1
Año 2018,IV Trim,Amazonas,Leticia,1
Año 2018,IV Trim,Antioquia,Medellin,74
Año 2018,IV Trim,Antioquia,Demás Municipios,88
Año 2018,IV Trim,Arauca,Arauca,6
Año 2018,IV Trim,Arauca,Demás Municipios,10
Año 2018,IV Trim,Atlantico,Barranquilla,34
Año 2018,IV Trim,Atlantico,Demás Municipios,10
Año 2018,IV Trim,Bolivar,Cartagena,48
Año 2018,IV Trim,Bolivar,Demás Municipios,12
Año 2018,IV Trim,Boyaca,Tunja,14
Año 2018,IV Trim,Boyaca,Demás Municipios,49
Año 2018,IV Trim,Caldas,Manizales,33
Año 2018,IV Trim,Caldas,Demás Municipios,14
Año 2018,IV Trim,Caqueta,Florencia,25
Año 2018,IV Trim,Caqueta,Demás Municipios,6
Año 2018,IV Trim,Casanare,Yopal,57
Año 2018,IV Trim,Casanare,Demás Municipios,7
Año 2018,IV Trim,Cauca,Popayan,28
Año 2018,IV Trim,Cauca,Demás Municipios,29
Año 2018,IV Trim,Cesar,Valledupar,4
Año 2018,IV Trim,Cesar,Demás Municipios,13
Año 2018,IV Trim,Choco,Quibdo,9
Año 2018,IV Trim,Choco,Demás Municipios,1
Año 2018,IV Trim,Cordoba,Monteria,19
Año 2018,IV Trim,Cordoba,Demás Municipios,27
Año 2018,IV Trim,Cundinamarca,Bogota,413
Año 2018,IV Trim,Cundinamarca,Demás Municipios,170
Año 2018,IV Trim,Guainia,Inirida,0
Año 2018,IV Trim,Guajira,Riohacha,3
Año 2018,IV Trim,Guajira,Demás Municipios,6
Año 2018,IV Trim,Guaviare,San Jose Del Guaviare,6
Año 2018,IV Trim,Huila,Neiva,31
Año 2018,IV Trim,Huila,Demás Municipios,27
Año 2018,IV Trim,Magdalena,Santa Marta,19
Año 2018,IV Trim,Magdalena,Demás Municipios,10
Año 2018,IV Trim,Meta,Villavicencio,25
Año 2018,IV Trim,Meta,Demás Municipios,7
Año 2018,IV Trim,Nariño,Pasto,17
Año 2018,IV Trim,Nariño,Demás Municipios,26
Año 2018,IV Trim,Norte De Santander,Cucuta,47
Año 2018,IV Trim,Norte De Santander,Demás Municipios,19
Año 2018,IV Trim,Putumayo,Mocoa,6
Año 2018,IV Trim,Putumayo,Demás Municipios,9
Año 2018,IV Trim,Quindio,Armenia,29
Año 2018,IV Trim,Quindio,Demás Municipios,4
Año 2018,IV Trim,Risaralda,Pereira,24
Año 2018,IV Trim,Risaralda,Demás Municipios,8
Año 2018,IV Trim,San Andres Y Providencia,San Andres Isla,16
Año 2018,IV Trim,San Andres Y Providencia,Demás Municipios,5
Año 2018,IV Trim,Santander,Bucaramanga,56
Año 2018,IV Trim,Santander,Demás Municipios,37
Año 2018,IV Trim,Sucre,Sincelejo,2
Año 2018,IV Trim,Sucre,Demás Municipios,4
Año 2018,IV Trim,Tolima,Ibague,34
Año 2018,IV Trim,Tolima,Demás Municipios,59
Año 2018,IV Trim,Valle,Cali,168
Año 2018,IV Trim,Valle,Demás Municipios,148
Año 2018,IV Trim,Vaupes,Mitu,0
Año 2018,IV Trim,Vichada,Puerto Carreño,1
Año 2018,IV Trim,Vichada,Demás Municipios,0
Año 2019,I Trim,Amazonas,Leticia,6
Año 2019,I Trim,Antioquia,Medellin,78
Año 2019,I Trim,Antioquia,Demás Municipios,117
Año 2019,I Trim,Arauca,Arauca,6
Año 2019,I Trim,Arauca,Demás Municipios,2
Año 2019,I Trim,Atlantico,Barranquilla,35
Año 2019,I Trim,Atlantico,Demás Municipios,12
Año 2019,I Trim,Bolivar,Cartagena,45
Año 2019,I Trim,Bolivar,Demás Municipios,12
Año 2019,I Trim,Boyaca,Tunja,7
Año 2019,I Trim,Boyaca,Demás Municipios,52
Año 2019,I Trim,Caldas,Manizales,30
Año 2019,I Trim,Caldas,Demás Municipios,20
Año 2019,I Trim,Caqueta,Florencia,19
Año 2019,I Trim,Caqueta,Demás Municipios,2
Año 2019,I Trim,Casanare,Yopal,4
Año 2019,I Trim,Casanare,Demás Municipios,8
Año 2019,I Trim,Cauca,Popayan,30
Año 2019,I Trim,Cauca,Demás Municipios,15
Año 2019,I Trim,Cesar,Valledupar,9
Año 2019,I Trim,Cesar,Demás Municipios,15
Año 2019,I Trim,Choco,Quibdo,7
Año 2019,I Trim,Choco,Demás Municipios,8
Año 2019,I Trim,Cordoba,Monteria,21
Año 2019,I Trim,Cordoba,Demás Municipios,34
Año 2019,I Trim,Cundinamarca,Bogota,403
Año 2019,I Trim,Cundinamarca,Demás Municipios,165
Año 2019,I Trim,Guainia,Inirida,0
Año 2019,I Trim,Guajira,Riohacha,6
Año 2019,I Trim,Guajira,Demás Municipios,17
Año 2019,I Trim,Guaviare,San Jose Del Guaviare,1
Año 2019,I Trim,Huila,Neiva,29
Año 2019,I Trim,Huila,Demás Municipios,34
Año 2019,I Trim,Magdalena,Santa Marta,6
Año 2019,I Trim,Magdalena,Demás Municipios,3
Año 2019,I Trim,Meta,Villavicencio,6
Año 2019,I Trim,Meta,Demás Municipios,10
Año 2019,I Trim,Nariño,Pasto,16
Año 2019,I Trim,Nariño,Demás Municipios,19
Año 2019,I Trim,Norte De Santander,Cucuta,47
Año 2019,I Trim,Norte De Santander,Demás Municipios,13
Año 2019,I Trim,Putumayo,Mocoa,17
Año 2019,I Trim,Putumayo,Demás Municipios,9
Año 2019,I Trim,Quindio,Armenia,16
Año 2019,I Trim,Quindio,Demás Municipios,6
Año 2019,I Trim,Risaralda,Pereira,26
Año 2019,I Trim,Risaralda,Demás Municipios,4
Año 2019,I Trim,San Andres Y Providencia,San Andres Isla,16
Año 2019,I Trim,San Andres Y Providencia,Demás Municipios,1
Año 2019,I Trim,Santander,Bucaramanga,45
Año 2019,I Trim,Santander,Demás Municipios,36
Año 2019,I Trim,Sucre,Sincelejo,4
Año 2019,I Trim,Sucre,Demás Municipios,3
Año 2019,I Trim,Tolima,Ibague,35
Año 2019,I Trim,Tolima,Demás Municipios,72
Año 2019,I Trim,Valle,Cali,194
Año 2019,I Trim,Valle,Demás Municipios,135
Año 2019,I Trim,Vaupes,Mitu,0
Año 2019,I Trim,Vichada,Puerto Carreño,3
Año 2019,I Trim,Vichada,Demás Municipios,0
Año 2019,II Trim,Amazonas,Leticia,2
Año 2019,II Trim,Antioquia,Medellin,77
Año 2019,II Trim,Antioquia,Demás Municipios,81
Año 2019,II Trim,Arauca,Arauca,6
Año 2019,II Trim,Arauca,Demás Municipios,6
Año 2019,II Trim,Atlantico,Barranquilla,105
Año 2019,II Trim,Atlantico,Demás Municipios,10
Año 2019,II Trim,Bolivar,Cartagena,52
Año 2019,II Trim,Bolivar,Demás Municipios,9
Año 2019,II Trim,Boyaca,Tunja,4
Año 2019,II Trim,Boyaca,Demás Municipios,37
Año 2019,II Trim,Caldas,Manizales,18
Año 2019,II Trim,Caldas,Demás Municipios,21
Año 2019,II Trim,Caqueta,Florencia,20
Año 2019,II Trim,Caqueta,Demás Municipios,6
Año 2019,II Trim,Casanare,Yopal,7
Año 2019,II Trim,Casanare,Demás Municipios,8
Año 2019,II Trim,Cauca,Popayan,39
Año 2019,II Trim,Cauca,Demás Municipios,29
Año 2019,II Trim,Cesar,Valledupar,9
Año 2019,II Trim,Cesar,Demás Municipios,17
Año 2019,II Trim,Choco,Quibdo,4
Año 2019,II Trim,Choco,Demás Municipios,5
Año 2019,II Trim,Cordoba,Monteria,22
Año 2019,II Trim,Cordoba,Demás Municipios,38
Año 2019,II Trim,Cundinamarca,Bogota,391
Año 2019,II Trim,Cundinamarca,Demás Municipios,150
Año 2019,II Trim,Guainia,Inirida,3
Año 2019,II Trim,Guajira,Riohacha,3
Año 2019,II Trim,Guajira,Demás Municipios,13
Año 2019,II Trim,Guaviare,San Jose Del Guaviare,11
Año 2019,II Trim,Huila,Neiva,40
Año 2019,II Trim,Huila,Demás Municipios,61
Año 2019,II Trim,Magdalena,Santa Marta,12
Año 2019,II Trim,Magdalena,Demás Municipios,6
Año 2019,II Trim,Meta,Villavicencio,24
Año 2019,II Trim,Meta,Demás Municipios,17
Año 2019,II Trim,Nariño,Pasto,10
Año 2019,II Trim,Nariño,Demás Municipios,22
Año 2019,II Trim,Norte De Santander,Cucuta,42
Año 2019,II Trim,Norte De Santander,Demás Municipios,13
Año 2019,II Trim,Putumayo,Mocoa,6
Año 2019,II Trim,Putumayo,Demás Municipios,10
Año 2019,II Trim,Quindio,Armenia,21
Año 2019,II Trim,Quindio,Demás Municipios,4
Año 2019,II Trim,Risaralda,Pereira,33
Año 2019,II Trim,Risaralda,Demás Municipios,7
Año 2019,II Trim,San Andres Y Providencia,San Andres Isla,20
Año 2019,II Trim,San Andres Y Providencia,Demás Municipios,1
Año 2019,II Trim,Santander,Bucaramanga,40
Año 2019,II Trim,Santander,Demás Municipios,39
Año 2019,II Trim,Sucre,Sincelejo,4
Año 2019,II Trim,Sucre,Demás Municipios,3
Año 2019,II Trim,Tolima,Ibague,38
Año 2019,II Trim,Tolima,Demás Municipios,55
Año 2019,II Trim,Valle,Cali,194
Año 2019,II Trim,Valle,Demás Municipios,112
Año 2019,II Trim,Vaupes,Mitu,0
Año 2019,II Trim,Vichada,Puerto Carreño,4
Año 2019,II Trim,Vichada,Demás Municipios,1
Año 2019,III Trim,Amazonas,Leticia,2
Año 2019,III Trim,Antioquia,Medellin,57
Año 2019,III Trim,Antioquia,Demás Municipios,67
Año 2019,III Trim,Arauca,Arauca,8
Año 2019,III Trim,Arauca,Demás Municipios,2
Año 2019,III Trim,Atlantico,Barranquilla,42
Año 2019,III Trim,Atlantico,Demás Municipios,7
Año 2019,III Trim,Bolivar,Cartagena,42
Año 2019,III Trim,Bolivar,Demás Municipios,15
Año 2019,III Trim,Boyaca,Tunja,18
Año 2019,III Trim,Boyaca,Demás Municipios,53
Año 2019,III Trim,Caldas,Manizales,26
Año 2019,III Trim,Caldas,Demás Municipios,13
Año 2019,III Trim,Caqueta,Florencia,30
Año 2019,III Trim,Caqueta,Demás Municipios,4
Año 2019,III Trim,Casanare,Yopal,4
Año 2019,III Trim,Casanare,Demás Municipios,5
Año 2019,III Trim,Cauca,Popayan,41
Año 2019,III Trim,Cauca,Demás Municipios,26
Año 2019,III Trim,Cesar,Valledupar,16
Año 2019,III Trim,Cesar,Demás Municipios,6
Año 2019,III Trim,Choco,Quibdo,5
Año 2019,III Trim,Choco,Demás Municipios,5
Año 2019,III Trim,Cordoba,Monteria,16
Año 2019,III Trim,Cordoba,Demás Municipios,36
Año 2019,III Trim,Cundinamarca,Bogota,398
Año 2019,III Trim,Cundinamarca,Demás Municipios,270
Año 2019,III Trim,Guainia,Inirida,0
Año 2019,III Trim,Guajira,Riohacha,4
Año 2019,III Trim,Guajira,Demás Municipios,14
Año 2019,III Trim,Guaviare,San Jose Del Guaviare,0
Año 2019,III Trim,Huila,Neiva,38
Año 2019,III Trim,Huila,Demás Municipios,39
Año 2019,III Trim,Magdalena,Santa Marta,18
Año 2019,III Trim,Magdalena,Demás Municipios,2
Año 2019,III Trim,Meta,Villavicencio,16
Año 2019,III Trim,Meta,Demás Municipios,11
Año 2019,III Trim,Nariño,Pasto,12
Año 2019,III Trim,Nariño,Demás Municipios,26
Año 2019,III Trim,Norte De Santander,Cucuta,47
Año 2019,III Trim,Norte De Santander,Demás Municipios,21
Año 2019,III Trim,Putumayo,Mocoa,8
Año 2019,III Trim,Putumayo,Demás Municipios,4
Año 2019,III Trim,Quindio,Armenia,32
Año 2019,III Trim,Quindio,Demás Municipios,10
Año 2019,III Trim,Risaralda,Pereira,19
Año 2019,III Trim,Risaralda,Demás Municipios,5
Año 2019,III Trim,San Andres Y Providencia,San Andres Isla,29
Año 2019,III Trim,Santander,Bucaramanga,27
Año 2019,III Trim,Santander,Demás Municipios,39
Año 2019,III Trim,Sucre,Sincelejo,0
Año 2019,III Trim,Sucre,Demás Municipios,17
Año 2019,III Trim,Tolima,Ibague,46
Año 2019,III Trim,Tolima,Demás Municipios,64
Año 2019,III Trim,Valle,Cali,228
Año 2019,III Trim,Valle,Demás Municipios,112
Año 2019,III Trim,Vaupes,Mitu,0
Año 2019,III Trim,Vichada,Puerto Carreño,3
Año 2019,III Trim,Vichada,Demás Municipios,2
